pBRA,pLBC,pUNR,pBCE,pBCD,pBAD,pBOD,cX2L,cX2a,cX2b,cX2Lab,cEMDL,cEMDa,cEMDb,cEMDLab,sX2L,sX2a,sX2b,sX2Lab,sEMDL,sEMDa,sEMDb,sEMDLab,Consensus
0.267757,0.140167,0.26629,0.81225,0.129613,0.146592,0.332073,0.186003,0.00816239,0.222823,0.20383800000000002,1.52614,0.0452085,0.604271,0.268465,0.326896,0.0675487,0.569658,0.394993,2.23727,0.220667,1.13828,0.435167,1
0.202033,0.09819860000000001,0.224784,0.476792,0.11354700000000001,0.177001,0.19318,0.032595,0.0705614,0.00486333,0.01755,0.845493,0.228694,0.0317819,0.0897358,1.09069,0.266261,0.168852,0.5267109999999999,3.96282,0.43223599999999995,0.253382,0.6189319999999999,1
0.04504280000000001,0.0411406,0.0401235,0.059259900000000004,0.0511609,0.130242,0.19012300000000001,0.019022400000000002,0.0236178,0.0204755,0.0125841,0.25400100000000003,0.1144,0.094056,0.061953699999999993,0.274902,0.0334988,0.0696803,0.10793900000000001,1.72133,0.13273,0.212767,0.24280900000000002,0
0.217793,0.0818196,0.22521,1.00499,0.115205,0.22102600000000003,0.237143,0.022492500000000002,0.223665,0.25859299999999996,0.230213,0.33363699999999996,0.400017,0.43282600000000004,0.234699,0.190841,0.612564,0.923069,0.49449799999999994,1.62405,0.7538560000000001,1.28328,0.486109,1
0.174524,0.136594,0.20296,0.164019,0.119003,0.175836,0.303774,0.0568553,0.0613985,0.25243499999999996,0.0478491,0.6114689999999999,0.149109,0.507499,0.110555,0.238087,0.491148,0.484066,0.188814,1.8840000000000001,0.439551,0.799808,0.232123,1
0.119362,0.051315999999999994,0.115139,0.159275,0.024417400000000002,0.0540179,0.157629,0.0474837,0.00842811,0.0540193,0.0593712,0.666593,0.0249821,0.178988,0.110795,0.0789133,0.047175,0.160363,0.0884178,0.9331309999999999,0.08304650000000001,0.468051,0.183142,0
0.0609514,0.051303999999999995,0.044274,0.0796467,0.0432841,0.061678199999999996,0.206592,0.201479,0.0984498,0.09205260000000001,0.17036600000000002,1.96137,0.209691,0.209135,0.274108,1.10994,0.204354,0.451273,0.972987,4.7828,0.29038,0.47266199999999997,0.706997,1
0.287034,0.11484200000000001,0.330559,0.680079,0.143406,0.333995,0.431684,0.08804529999999999,0.031723900000000006,0.018520500000000002,0.07156799999999999,0.748103,0.122325,0.114977,0.107839,0.6155390000000001,0.325919,0.44533900000000004,0.291387,3.54745,0.363706,0.745904,0.41566000000000003,1
0.0270911,0.035348000000000004,0.010582,0.142593,0.0231524,0.0068959,0.126388,0.015443100000000001,0.013030600000000002,0.0693146,0.05426419999999999,0.395323,0.11697300000000001,0.21025300000000002,0.11481199999999998,0.263334,0.0233716,0.20413800000000001,0.24054499999999998,0.956226,0.136243,0.39015900000000003,0.325488,0
0.2209,0.153075,0.255272,0.240233,0.155449,0.277325,0.316623,0.0455166,0.0175237,0.13641,0.09858919999999999,0.46919799999999995,0.0925556,0.41471199999999997,0.12579200000000001,0.18803,0.07241,0.590345,0.620378,0.932853,0.25833,0.735223,0.548003,1
0.202322,0.153347,0.197285,0.0485298,0.0974796,0.154398,0.474077,0.189083,0.12553499999999998,0.0186172,0.0532783,1.57867,0.22494299999999998,0.110693,0.155993,1.38914,0.281497,0.23791500000000002,0.36638200000000004,3.58724,0.397032,0.476013,0.54785,1
0.11929400000000001,0.0504463,0.096,0.283393,0.0263997,0.081951,0.272129,0.052263300000000006,0.0043396,0.109543,0.0222243,0.48136899999999994,0.0622518,0.230057,0.0709506,0.98736,0.052221699999999996,1.15394,0.429821,3.1346,0.198152,0.795312,0.435299,1
0.125908,0.057390199999999995,0.14816400000000002,0.446324,0.0298476,0.0189336,0.136036,0.07309349999999999,0.033656,0.101188,0.0619595,0.49566099999999996,0.12406800000000001,0.265077,0.102621,0.458207,0.222462,0.362394,0.241175,2.56032,0.372368,0.46302200000000004,0.32924000000000003,1
0.0184638,0.021236599999999998,0.0195122,0.037942199999999995,0.060748300000000005,0.06612660000000001,0.173902,0.182536,0.0459725,0.299773,0.22059299999999998,2.02562,0.16384,0.664088,0.289865,0.520718,0.556081,0.702849,0.688682,3.42064,0.706068,0.951053,0.6839689999999999,1
0.224412,0.174035,0.182733,0.11900999999999999,0.19627999999999998,0.213483,0.315397,0.053503699999999994,0.048520999999999995,0.00425564,0.0121466,0.627753,0.139,0.0417163,0.043493800000000006,0.8302379999999999,0.24584,0.09137200000000001,0.27728800000000003,3.02346,0.355808,0.2918,0.38464,1
0.168669,0.14239300000000002,0.17769400000000002,0.0953039,0.179653,0.335442,0.35118,0.134332,0.0375554,0.0657847,0.037588800000000006,1.4639799999999998,0.144255,0.26946,0.149753,0.302873,0.0858478,0.18120999999999998,0.138104,1.6833599999999997,0.24291300000000002,0.43238000000000004,0.269573,1
0.0903841,0.174059,0.102064,0.896367,0.38401399999999997,0.6735180000000001,0.6735180000000001,0.125057,0.07717689999999999,0.0611594,0.07088330000000001,1.46656,0.194353,0.184815,0.201938,1.46098,0.333886,0.360739,1.1048200000000001,6.1931400000000005,0.470872,0.46174,1.09502,1
0.136018,0.0962273,0.12704200000000002,0.039645099999999996,0.11761600000000001,0.22707,0.29554899999999995,0.094967,0.0267846,0.0387007,0.0678531,1.21675,0.08351239999999999,0.185916,0.15401099999999998,1.06525,0.26355,0.464549,0.5524640000000001,3.7759400000000003,0.354259,0.9531,0.570454,1
0.19107000000000002,0.14917,0.21743800000000002,0.08653680000000001,0.221108,0.369949,0.391412,0.0776251,0.039551199999999995,0.056012900000000004,0.08414880000000001,0.900099,0.116006,0.206261,0.202442,0.229658,0.33569,0.148249,0.1505,1.37421,0.558855,0.308715,0.264401,1
0.219514,0.119064,0.267586,0.5199819999999999,0.031060300000000002,0.0219614,0.295601,0.06819220000000001,0.034721300000000004,0.230113,0.0782025,1.16146,0.124706,0.712541,0.176671,0.376205,0.142671,0.9890549999999999,0.522242,2.0565,0.265408,1.2759,0.49147799999999997,1
0.158461,0.15821,0.186935,0.0264531,0.21433600000000003,0.37969899999999995,0.37969899999999995,0.199963,0.391178,0.127187,0.08902,1.61802,0.46118000000000003,0.295926,0.188328,1.28972,0.795467,0.554182,0.31006100000000003,2.98906,0.611796,0.545962,0.323865,1
0.0106159,0.0110071,0.0121457,0.00657045,0.034180199999999994,0.09085889999999999,0.11631500000000002,0.0436478,0.0054938999999999995,0.00889888,0.0375544,0.6100369999999999,0.048038,0.0470541,0.118744,0.276341,0.10463599999999999,0.0816128,0.242444,1.1118299999999999,0.21780700000000003,0.140519,0.285401,1
0.0895194,0.06095790000000001,0.0537057,0.0933558,0.10486400000000001,0.193486,0.193499,0.0384779,0.0434791,0.0429768,0.0264025,0.328569,0.123455,0.18653599999999998,0.08230610000000001,0.198407,0.0349772,0.1134,0.100255,0.9664719999999999,0.09844220000000001,0.27852899999999997,0.191642,1
0.239263,0.145065,0.223149,0.201217,0.157282,0.33146,0.492683,0.046463,0.0064447,0.015421299999999999,0.0111319,0.43023500000000003,0.0681165,0.0829546,0.05149159999999999,0.7571720000000001,0.048931300000000004,0.21839,0.6699039999999999,3.0538,0.163471,0.40855,0.55103,1
0.0466024,0.0251223,0.028921,0.0101618,0.0825754,0.208089,0.20863600000000002,0.022398500000000002,0.00465143,0.00747152,0.00507554,0.25506,0.0492315,0.058052099999999995,0.029617900000000003,0.385641,0.0134638,0.0574244,0.14001,1.70878,0.06852260000000002,0.182376,0.26306799999999997,0
0.131415,0.0751938,0.158442,0.167286,0.134899,0.27170300000000003,0.27170300000000003,0.128473,0.0164413,0.00622034,0.0328377,1.05725,0.071687,0.0439906,0.07541439999999999,0.312094,0.12200599999999999,0.187342,0.11106099999999999,1.93888,0.28473699999999996,0.324799,0.16303199999999998,1
0.11350899999999998,0.1072,0.0691145,0.270698,0.110206,0.129527,0.266357,0.0399316,0.0767175,0.034447399999999996,0.0141754,0.36607399999999995,0.228946,0.193903,0.0483583,0.119723,0.149239,0.128304,0.069469,0.561994,0.324969,0.324615,0.17555199999999999,1
0.205904,0.0129114,0.114452,0.709291,0.11753699999999999,0.284566,0.284566,0.0985499,0.18487,0.090336,0.044933,0.7960470000000001,0.331849,0.281104,0.112409,0.987643,0.240736,0.34820500000000004,0.31555500000000003,3.14533,0.363331,0.468562,0.378094,1
0.10708800000000002,0.03818869999999999,0.0431965,0.0163115,0.0463664,0.17677400000000001,0.278064,0.07438789999999999,0.00323905,0.0341935,0.027714299999999997,0.5090020000000001,0.023699099999999997,0.166757,0.0826786,0.40575500000000003,0.0453573,0.283566,0.213209,2.57186,0.137429,0.5201180000000001,0.40275,0
0.19535999999999998,0.129358,0.22222199999999998,0.215306,0.17432999999999998,0.30701799999999996,0.30701799999999996,0.114481,0.0360233,0.0186884,0.0828801,2.23387,0.132669,0.165054,0.27695,1.60102,0.48309399999999997,0.328947,1.0521399999999999,5.2413,0.46487399999999995,0.408165,0.739487,1
0.119618,0.0152923,0.01766,0.19628199999999998,0.00791559,0.0499493,0.186686,0.028568200000000002,0.013755200000000002,0.144852,0.0832907,0.383851,0.101906,0.354242,0.165614,0.663022,0.0922062,0.36017899999999997,0.532611,2.58284,0.227479,0.510636,0.47529,1
